CIK,"('exchange_and_symbol', 'variation_0')",stock_price_at_prediction_date,date
55242,NYSE:KMT,40.41,2021-01-01
55362,,0,2021-01-01
55529,Nasdaq:KEQU,12.05,2021-01-01
55772,Nasdaq:KBAL,0,2021-01-01
55785,NYSE:KMB,131.6,2021-01-01
56047,NYSE:KEX,57.05,2021-01-01
56679,NYSE:KFY,46.46,2021-01-01
56701,Nasdaq:KOSS,3.15,2021-01-01
56806,NASDAQ:KRSL,0,2021-01-01
56868,Nasdaq:PNRG,38.47,2021-01-01
56873,NYSE:KR,31.82,2021-01-01
56978,Nasdaq:KLIC,34.33,2021-01-01
57083,NYSE:KYO,0,2021-01-01
57131,NYSE:LZB,42.93,2021-01-01
57201,,0,2021-01-01
57515,Nasdaq:LANC,182.19,2021-01-01
57528,NASDAQ:LNCE,0,2021-01-01
57725,NYSE:LCI,0,2021-01-01
58361,Nasdaq:LEE,13.9,2021-01-01
58492,NYSE:LEG,44.96,2021-01-01
59255,NYSE:VHI,17.52,2021-01-01
59440,NYSE:VGR,9.19,2021-01-01
59478,NYSE:LLY,165.83,2021-01-01
59527,Nasdaq:LECO,122.53,2021-01-01
59558,NYSE:LNC,52.63,2021-01-01
60086,NYSE:L,46.75,2021-01-01
60519,NYSE:LPX,40.37,2021-01-01
60527,NYSE:ELC,0,2021-01-01
60667,NYSE:LOW,163.71,2021-01-01
60714,NYSE:LXU,2.84,2021-01-01
60751,NYSE:LZ,0,2021-01-01
60977,NYSE:LDL,0,2021-01-01
61004,AMEX:LGL,0,2021-01-01
61398,AMEX:TELL,0,2021-01-01
61442,,0,2021-01-01
61478,NYSE:ADCT,31.6,2021-01-01
61986,NYSE:MTW,14.84,2021-01-01
62234,NYSE:MCS,13.87,2021-01-01
62362,Nasdaq:MARPS,0,2021-01-01
62709,NYSE:MMC,113.34,2021-01-01
62996,NYSE:MAS,55.04,2021-01-01
63276,Nasdaq:MAT,18.26,2021-01-01
63296,Nasdaq:MATW,31.5,2021-01-01
63330,NYSE:MLP,11.71,2021-01-01
63754,NYSE:MKC,94.79,2021-01-01
63908,NYSE:MCD,211.98,2021-01-01
64040,NYSE:SPGI,329.07,2021-01-01
64463,Nasdaq:SLNH,136.13,2021-01-01
64472,AMEX:GENC,0,2021-01-01
64803,NYSE:CVS,73.99,2021-01-01
64996,NYSE:MCY,52.87,2021-01-01
65100,NYSE:MER,0,2021-01-01
65172,NYSE:MSB,28.27,2021-01-01
65201,NYSE:MPR,0,2021-01-01
65270,NYSE:MEI,42.41,2021-01-01
65312,AMEX:EVI,0,2021-01-01
65358,NASDAQ:UCAP,0,2021-01-01
65433,NYSE:MXF,14.08,2021-01-01
65596,Nasdaq:SIEB,4.13,2021-01-01
65770,Nasdaq:MVIS,5.91,2021-01-01
65984,NYSE:ETR,94.84,2021-01-01
66004,Nasdaq:MSEX,72.2,2021-01-01
66032,,0,2021-01-01
66382,Nasdaq:MLKN,34.36,2021-01-01
66418,AMEX:MXC,0,2021-01-01
66570,NYSE:MSA,156.6,2021-01-01
66649,NYSE:MGN,0,2021-01-01
66740,NYSE:MMM,141.9,2021-01-01
66756,NYSE:ALE,64.28,2021-01-01
66901,NYSE:EMP,0,2021-01-01
66904,,0,2021-01-01
67088,NYSE:MUFG,4.66,2021-01-01
67215,NYSE:DY,85.57,2021-01-01
67279,NASDAQ:MOCO,0,2021-01-01
67347,NYSE:MOD,13.39,2021-01-01
67625,NYSE:MNR,0,2021-01-01
67686,NYSE:MON,0,2021-01-01
67716,NYSE:MDU,18.32,2021-01-01
67813,NYSE:MTS,0,2021-01-01
67887,NYSE:MOGA,0,2021-01-01
68270,NYSE:RT,0,2021-01-01
68505,NYSE:MSI,171.08,2021-01-01
68622,NYSE:CTBB,25.9,2021-01-01
68709,NASDAQ:MTSC,0,2021-01-01
69422,Nasdaq:INTG,31.25,2021-01-01
69488,NYSE:MYE,22.31,2021-01-01
69633,Nasdaq:NSSC,13.66,2021-01-01
69733,Nasdaq:NATH,57.26,2021-01-01
69891,Nasdaq:FIZZ,40.54,2021-01-01
70145,NYSE:NFG,44.08,2021-01-01
70318,NYSE:THC,44.74,2021-01-01
70415,NYSE:GPX,0,2021-01-01
70487,Nasdaq:NRC,44.73,2021-01-01
70502,NYSE:NRUC,27.55,2021-01-01
70793,NYSE:NTY,0,2021-01-01
70858,NYSE:BAC,32.86,2021-01-01
70866,NYSE:VYX,23.15,2021-01-01
71508,NYSE:ENJ,0,2021-01-01
71691,NYSE:NYT,47.62,2021-01-01
71829,NYSE:NR,2.53,2021-01-01
71932,NYSE:NMKBP,0,2021-01-01
72162,NYSE:NL,5.1,2021-01-01
72207,NYSE:NBL,0,2021-01-01
72331,Nasdaq:NDSN,205.29,2021-01-01
72333,NYSE:JWN,33.67,2021-01-01
72423,NASDAQ:NTK,0,2021-01-01
72444,Nasdaq:VXRT,6.73,2021-01-01
72573,NYSE:MOV,18.19,2021-01-01
72633,NYSE:NRT,3.33,2021-01-01
72741,NYSE:ES,88.55,2021-01-01
72903,Nasdaq:XEL,65.16,2021-01-01
72911,NYSE:NRTLQ,0,2021-01-01
72971,NYSE:WFC,33.43,2021-01-01
73124,Nasdaq:NTRS,97.58,2021-01-01
73290,Nasdaq:BMRA,5.47,2021-01-01
73309,NYSE:NUE,56.19,2021-01-01
73756,NYSE:OII,10.43,2021-01-01
73887,NYSE:VTOL,28.51,2021-01-01
74046,NYSE:ODC,35.22,2021-01-01
74208,NYSE:UDR,37.56,2021-01-01
74260,NYSE:ORI,19.17,2021-01-01
74303,NYSE:OLN,27.16,2021-01-01
75208,NYSE:OSG,2.14,2021-01-01
75252,NYSE:OMI,30.94,2021-01-01
75288,NYSE:OXM,70.32,2021-01-01
75340,Nasdaq:PFIN,0,2021-01-01
75362,Nasdaq:PCAR,58.93,2021-01-01
75398,NYSE:PAI,15.66,2021-01-01
75488,NYSE:PCG,12.31,2021-01-01
75677,NYSE:PKG,144.95,2021-01-01
76174,,0,2021-01-01
76267,NYSE:PKE,14.34,2021-01-01
76282,Nasdaq:PKOH,32.91,2021-01-01
76334,NYSE:PH,281.36,2021-01-01
76605,Nasdaq:PATK,73.3,2021-01-01
77159,Nasdaq:ROCC,0,2021-01-01
77281,OTC:PRET,0,2021-01-01
77360,NYSE:PNR,55.03,2021-01-01
77449,NYSE:PBY,0,2021-01-01
77476,Nasdaq:PEP,142.47,2021-01-01
77543,NYSE:TPC,17.07,2021-01-01
77597,NYSE:SEH,0,2021-01-01
77776,NYSE:PHH,0,2021-01-01
77877,Nasdaq:PDCE,0,2021-01-01
78003,NYSE:PFE,37.06,2021-01-01
