CIK,"('exchange_and_symbol', 'variation_0')",stock_price_at_prediction_date,date
50493,Nasdaq:IMKTA,63.22,2021-04-01
50710,,0,2021-04-01
50725,NYSE:GFF,26.28,2021-04-01
50863,Nasdaq:INTC,65.63,2021-04-01
50934,NYSE:IDC,0,2021-04-01
50957,NASDAQ:FBN,0,2021-04-01
51143,NYSE:IBM,124.7,2021-04-01
51253,NYSE:IFF,137.3,2021-04-01
51434,NYSE:IP,49.83,2021-04-01
51548,NASDAQ:ISCA,0,2021-04-01
51644,NYSE:IPG,29.27,2021-04-01
51939,NASDAQ:CORSQ,0,2021-04-01
52485,NASDAQ:IPLDP,0,2021-04-01
52708,NASDAQ:IOMT,0,2021-04-01
52795,NYSE:AXE,0,2021-04-01
52827,NYSE:RYN,31.43,2021-04-01
52969,NYSE:JCLY,0,2021-04-01
52988,NYSE:J,123.19,2021-04-01
54003,NYSE:JOR,0,2021-04-01
54056,NYSE:JRN,0,2021-04-01
54187,Nasdaq:MAYS,0,2021-04-01
54381,NYSE:KAMN,0,2021-04-01
54441,NYSE:FRM,0,2021-04-01
54480,NYSE:KSU,249.09,2021-04-01
54502,,0,2021-04-01
54507,NYSE:WR,0,2021-04-01
54991,NYSE:KEI,0,2021-04-01
55067,NYSE:K,58.54,2021-04-01
55135,Nasdaq:KELYA,20.87,2021-04-01
55195,,0,2021-04-01
55242,NYSE:KMT,40.66,2021-04-01
55362,,0,2021-04-01
55529,Nasdaq:KEQU,12.45,2021-04-01
55772,Nasdaq:KBAL,0,2021-04-01
55785,NYSE:KMB,133.03,2021-04-01
56047,NYSE:KEX,64.04,2021-04-01
56679,NYSE:KFY,63.02,2021-04-01
56701,Nasdaq:KOSS,23.8,2021-04-01
56806,NASDAQ:KRSL,0,2021-04-01
56868,Nasdaq:PNRG,55.1,2021-04-01
56873,NYSE:KR,36.19,2021-04-01
56978,Nasdaq:KLIC,49.68,2021-04-01
57083,NYSE:KYO,0,2021-04-01
57131,NYSE:LZB,43.53,2021-04-01
57201,,0,2021-04-01
57515,Nasdaq:LANC,183.91,2021-04-01
57528,NASDAQ:LNCE,0,2021-04-01
57725,NYSE:LCI,0,2021-04-01
58361,Nasdaq:LEE,24.87,2021-04-01
58492,NYSE:LEG,46.3,2021-04-01
59255,NYSE:VHI,22.88,2021-04-01
59440,NYSE:VGR,10.08,2021-04-01
59478,NYSE:LLY,185.84,2021-04-01
59527,Nasdaq:LECO,123.69,2021-04-01
59558,NYSE:LNC,62.39,2021-04-01
60086,NYSE:L,51.7,2021-04-01
60519,NYSE:LPX,54.55,2021-04-01
60527,NYSE:ELC,0,2021-04-01
60667,NYSE:LOW,181.89,2021-04-01
60714,NYSE:LXU,3.52,2021-04-01
60751,NYSE:LZ,0,2021-04-01
60977,NYSE:LDL,0,2021-04-01
61004,AMEX:LGL,0,2021-04-01
61397,BATS:FMAG,19.8,2021-04-01
61398,AMEX:TELL,0,2021-04-01
61442,,0,2021-04-01
61478,NYSE:ADCT,28.7,2021-04-01
61986,NYSE:MTW,21.16,2021-04-01
62234,NYSE:MCS,21.39,2021-04-01
62362,Nasdaq:MARPS,0,2021-04-01
62709,NYSE:MMC,117.28,2021-04-01
62996,NYSE:MAS,57.79,2021-04-01
63276,Nasdaq:MAT,20.88,2021-04-01
63296,Nasdaq:MATW,39.71,2021-04-01
63330,NYSE:MLP,11.73,2021-04-01
63754,NYSE:MKC,87.85,2021-04-01
63908,NYSE:MCD,225.07,2021-04-01
64040,NYSE:SPGI,345.54,2021-04-01
64463,Nasdaq:SLNH,367.5,2021-04-01
64472,AMEX:GENC,0,2021-04-01
64803,NYSE:CVS,73.47,2021-04-01
64996,NYSE:MCY,60.17,2021-04-01
65100,NYSE:MER,0,2021-04-01
65172,NYSE:MSB,29.46,2021-04-01
65201,NYSE:MPR,0,2021-04-01
65270,NYSE:MEI,42.58,2021-04-01
65312,AMEX:EVI,0,2021-04-01
65358,NASDAQ:UCAP,0,2021-04-01
65433,NYSE:MXF,14.02,2021-04-01
65596,Nasdaq:SIEB,4.98,2021-04-01
65770,Nasdaq:MVIS,17.97,2021-04-01
65984,NYSE:ETR,97.68,2021-04-01
66004,Nasdaq:MSEX,77.88,2021-04-01
66032,,0,2021-04-01
66382,Nasdaq:MLKN,41.34,2021-04-01
66418,AMEX:MXC,0,2021-04-01
66570,NYSE:MSA,159.12,2021-04-01
66649,NYSE:MGN,0,2021-04-01
66740,NYSE:MMM,158.41,2021-04-01
66756,NYSE:ALE,67.6,2021-04-01
66901,NYSE:EMP,0,2021-04-01
66904,,0,2021-04-01
67088,NYSE:MUFG,5.98,2021-04-01
67215,NYSE:DY,91.84,2021-04-01
67279,NASDAQ:MOCO,0,2021-04-01
67347,NYSE:MOD,16,2021-04-01
67625,NYSE:MNR,0,2021-04-01
67686,NYSE:MON,0,2021-04-01
67716,NYSE:MDU,20.46,2021-04-01
67813,NYSE:MTS,0,2021-04-01
67887,NYSE:MOGA,0,2021-04-01
68270,NYSE:RT,0,2021-04-01
68505,NYSE:MSI,185.71,2021-04-01
68622,NYSE:CTBB,26.16,2021-04-01
68709,NASDAQ:MTSC,0,2021-04-01
69422,Nasdaq:INTG,38.16,2021-04-01
69488,NYSE:MYE,20.3,2021-04-01
69633,Nasdaq:NSSC,16.92,2021-04-01
69733,Nasdaq:NATH,68.83,2021-04-01
69891,Nasdaq:FIZZ,49.99,2021-04-01
70145,NYSE:NFG,48.65,2021-04-01
70318,NYSE:THC,54.81,2021-04-01
70415,NYSE:GPX,0,2021-04-01
70487,Nasdaq:NRC,46.13,2021-04-01
70502,NYSE:NRUC,26.31,2021-04-01
70793,NYSE:NTY,0,2021-04-01
70858,NYSE:BAC,37.66,2021-04-01
70866,NYSE:VYX,22.29,2021-04-01
71508,NYSE:ENJ,0,2021-04-01
71691,NYSE:NYT,50.14,2021-04-01
71829,NYSE:NR,3.49,2021-04-01
71932,NYSE:NMKBP,0,2021-04-01
72162,NYSE:NL,6.74,2021-04-01
72207,NYSE:NBL,0,2021-04-01
72331,Nasdaq:NDSN,201.71,2021-04-01
72333,NYSE:JWN,40.04,2021-04-01
72423,NASDAQ:NTK,0,2021-04-01
72444,Nasdaq:VXRT,6.87,2021-04-01
72573,NYSE:MOV,23.42,2021-04-01
72633,NYSE:NRT,4.4,2021-04-01
72741,NYSE:ES,82.25,2021-04-01
72903,Nasdaq:XEL,63.75,2021-04-01
72911,NYSE:NRTLQ,0,2021-04-01
72971,NYSE:WFC,38.97,2021-04-01
73124,Nasdaq:NTRS,99.58,2021-04-01
73290,Nasdaq:BMRA,6.4,2021-04-01
73309,NYSE:NUE,69.55,2021-04-01
73756,NYSE:OII,12.24,2021-04-01
73887,NYSE:VTOL,26.37,2021-04-01
74046,NYSE:ODC,35.79,2021-04-01
74208,NYSE:UDR,43.53,2021-04-01
74260,NYSE:ORI,21.61,2021-04-01
74303,NYSE:OLN,37.77,2021-04-01
75208,NYSE:OSG,2.24,2021-04-01
75252,NYSE:OMI,37.75,2021-04-01
75288,NYSE:OXM,86.38,2021-04-01
75340,Nasdaq:PFIN,0,2021-04-01
75362,Nasdaq:PCAR,62.39,2021-04-01
75398,NYSE:PAI,14.94,2021-04-01
75488,NYSE:PCG,11.11,2021-04-01
75677,NYSE:PKG,130.45,2021-04-01
76174,,0,2021-04-01
76267,NYSE:PKE,13.88,2021-04-01
76282,Nasdaq:PKOH,35.27,2021-04-01
76334,NYSE:PH,310.98,2021-04-01
76605,Nasdaq:PATK,83.2,2021-04-01
77159,Nasdaq:ROCC,0,2021-04-01
77281,OTC:PRET,0,2021-04-01
77360,NYSE:PNR,60.61,2021-04-01
77449,NYSE:PBY,0,2021-04-01
77476,Nasdaq:PEP,137.8,2021-04-01
77543,NYSE:TPC,17.67,2021-04-01
77597,NYSE:SEH,0,2021-04-01
77776,NYSE:PHH,0,2021-04-01
77877,Nasdaq:PDCE,0,2021-04-01
78003,NYSE:PFE,36,2021-04-01
78066,NYSE:PD,42.19,2021-04-01
78128,NYSE:WTRG,42.5,2021-04-01
78150,NYSE:PHI,25.22,2021-04-01
78239,NYSE:PVH,103.47,2021-04-01
78460,NYSE:PNY,0,2021-04-01
78536,NASDAQ:DINE,0,2021-04-01
78749,Nasdaq:AGYS,51.93,2021-04-01
78778,NYSE:PJC,0,2021-04-01
78814,NYSE:PBI,8.83,2021-04-01
78890,NYSE:BCO,81.21,2021-04-01
79035,NYSE:POLY,0,2021-04-01
79282,NYSE:BRO,45.34,2021-04-01
79879,NYSE:PPG,147.94,2021-04-01
79958,NYSE:PCP,0,2021-04-01
80035,Nasdaq:PLPC,67.51,2021-04-01
80124,NASDAQ:PLFE,0,2021-04-01
80172,NYSE:NPK,101.23,2021-04-01
80257,,0,2021-04-01
80420,Nasdaq:POWL,33.24,2021-04-01
80424,NYSE:PG,130.18,2021-04-01
80661,NYSE:PGR,90.13,2021-04-01
81318,NYSE:YUMA,0,2021-04-01
81362,NYSE:KWR,244.96,2021-04-01
81955,Nasdaq:RAND,16.15,2021-04-01
82020,Nasdaq:USLM,142.21,2021-04-01
82166,NASDAQ:RAVN,0,2021-04-01
82267,NYSE:RTN,0,2021-04-01
82473,AMEX:IHT,0,2021-04-01
82811,NYSE:RRX,151.21,2021-04-01
83402,NASDAQ:REXI,0,2021-04-01
84246,NYSE:RLI,108.28,2021-04-01
84748,NYSE:ROG,191.54,2021-04-01
84792,NYSE:ROH,0,2021-04-01
84839,NYSE:ROL,34.37,2021-04-01
85408,NYSE:RDC,0,2021-04-01
85535,Nasdaq:RGLD,106.8,2021-04-01
85961,NYSE:R,72.73,2021-04-01
85974,NYSE:RYL,0,2021-04-01
86144,NYSE:SWY,0,2021-04-01
86312,NYSE:TRV,147.59,2021-04-01
87050,Nasdaq:NEON,8.97,2021-04-01
87347,NYSE:SLB,27.65,2021-04-01
